aid,actor_name,movie_credits,popularity
10128,William Lee Scott,17,1.50138
10129,Greg Zola,2,0.000408
85,Johnny Depp,88,15.780102
824,Ethan Suplee,40,3.281627
11477,Ray Liotta,87,6.186802
679,Franka Potente,37,3.717528
3052,Rachel Griffiths,39,1.976377
5129,Paul Reubens,46,1.066418
31384,Jordi Mollà,58,2.199445
7248,Cliff Curtis,38,4.820551
30488,Miguel Sandoval,47,1.117883
5292,Denzel Washington,58,8.165133
569,Ethan Hawke,71,10.185934
349,Scott Glenn,74,3.719679
13022,Tom Berenger,78,4.648375
1166,Harris Yulin,57,1.86301
19767,Snoop Dogg,74,2.45509
2041,Dr. Dre,20,3e-06
8170,Eva Mendes,35,6.090976
18461,Nick Chinlund,38,1.600344
934,Russell Crowe,52,5.290016
228,Ed Harris,87,6.141907
6161,Jennifer Connelly,45,9.287087
290,Christopher Plummer,150,7.845103
6162,Paul Bettany,51,4.977539
6163,Adam Goldberg,37,3.641367
6164,Josh Lucas,53,3.362373
6165,Anthony Rapp,21,3.139458
6166,Jason Gray-Stanford,14,0.265686
6167,Judd Hirsch,36,1.595084
1810,Heath Ledger,19,9.199284
17328,Rufus Sewell,47,3.401477
27855,Shannyn Sossamon,25,3.856662
42279,Laura Fraser,37,0.869747
13633,Mark Addy,22,1.760456
21088,Alan Tudyk,47,6.844686
17648,James Purefoy,29,3.224719
82923,Bérénice Bejo,38,1.608104
32559,Scott Handy,14,1e-06
368,Reese Witherspoon,45,8.358722
36422,Luke Wilson,65,3.672421
11826,Selma Blair,47,3.833977
56045,Matthew Davis,17,1.00994
8536,Victor Garber,56,5.899476
38334,Jennifer Coolidge,49,1.615503
11318,Holland Taylor,47,3.232429
17303,Ali Larter,24,5.135728
22126,Jessica Cauffiel,14,0.047044
10402,Alanna Ubach,38,4.136524
13240,Mark Wahlberg,54,8.787447
3129,Tim Roth,84,6.531179
1283,Helena Bonham Carter,75,8.032227
61981,Michael Clarke Duncan,50,2.173503
10823,Kris Kristofferson,131,3.445695
13241,Estella Warren,23,0.51401
13242,Paul Giamatti,86,5.698551
11398,Cary-Hiroyuki Tagawa,61,3.80028
13243,Glenn Shadix,21,0.000521
10017,Charlton Heston,110,6.368624
3131,Antonio Banderas,111,8.208088
21142,Gregory Itzin,29,0.14385
12536,Jack Thompson,66,1.652487
21143,Allison Mackie,12,0.12
21144,Joan Pringle,4,0.026124
21145,Cordelia Richards,1,0.23352
11155,Thomas Jane,50,4.210175
21166,James Haven,6,6.9e-05
23873,Lisa Owen,18,0.004061
66,Chris Tucker,19,5.513054
18897,Jackie Chan,192,10.549789
1339,Zhang Ziyi,38,4.727177
41901,Roselyn Sánchez,22,2.696798
58210,"Ernie Reyes, Jr.",15,0.129126
1896,Don Cheadle,61,3.866142
11389,John Lone,17,2.03183
21045,Maggie Q,26,6.464349
7169,Alan King,26,0.002162
2227,Nicole Kidman,84,8.70487
5723,John Leguizamo,104,8.577251
12206,Richard Roxburgh,39,0.904274
12211,Garry McDonald,16,1e-06
12210,Jacek Koman,18,0.052765
12212,Matthew Whittet,3,0.006978
10756,Kerry Walker,18,0.0345
12209,Caroline O'Connor,6,1.1e-05
12763,Joseph Fiennes,31,3.86177
382,Bob Hoskins,84,4.01325
2372,Ron Perlman,119,5.202738
10627,Eva Mattes,67,0.823206
12764,Gabriel Thomson,4,4e-06
4534,Matthias Habich,75,0.011428
12765,Alexander Schwan,1,7.2e-05
193,Gene Hackman,91,5.97161
5657,Anjelica Huston,83,5.81916
7399,Ben Stiller,88,9.293398
12052,Gwyneth Paltrow,56,10.788732
887,Owen Wilson,65,7.510058
1532,Bill Murray,88,7.257404
2047,Danny Glover,146,6.074626
5950,Seymour Cassel,121,1.938758
19303,Kevin Smith,81,0.381872
19302,Jason Mewes,68,5.075132
23630,Jeff Anderson,14,0.020952
23629,Brian O'Halloran,23,1.054778
13446,Eliza Dushku,32,4.469132
23658,Jennifer Schwalbach Smith,13,1.42171
23659,Will Ferrell,76,7.107391
55636,Donald Sutherland,157,5.36111
21702,Ming-Na Wen,24,3.442838
10182,Ving Rhames,95,6.108858
21703,Peri Gilpin,15,0.073242
14500,Jean Simmons,65,1.318853
65827,Keith David,135,4.125393
1813,Anne Hathaway,43,10.229547
5823,Julie Andrews,53,4.147962
33656,Heather Matarazzo,27,1.871272
17242,Robert Schwartzman,6,0.00056
1210,Héctor Elizondo,68,2.719369
16855,Mandy Moore,31,6.89616
6692,Caroline Goodall,43,1.107868
12901,Erik von Detten,21,1.26508
25540,Sandra Oh,37,1.449601
115730,Patrick John Flueger,12,0.005002
52049,Jay Chandrasekhar,11,0.00765
52051,Steve Lemme,12,3.9e-05
56251,Kevin Heffernan,16,0.081614
56253,Paul Soter,8,6e-06
1248,Brian Cox,125,3.928552
56252,Erik Stolhanske,8,0.013598
56595,Marisa Coughlan,17,2.48991
1935252,André Vippolis,1,7e-06
84763,Joey Kern,22,0.0541
5375,Geoffrey Arend,16,2e-05
521,Michael J. Fox,51,2.405238
35219,Corey Burton,76,1.613335
52300,Claudia Christian,36,2.117482
16896,James Garner,78,2.241169
4251,John Mahoney,39,1.21211
56853,Phil Morris,30,1.140854
1749,Leonard Nimoy,67,2.586766
161860,Don Novello,18,0.396029
49818,Jacqueline Obradors,10,1.194833
84323,Florence Stanley,16,0.221329
15286,Christine Taylor,28,3.154258
63,Milla Jovovich,45,5.858802
26042,Jerry Stiller,47,1.836628
12640,David Duchovny,42,2.392834
52860,Judah Friedlander,33,1.264894
203809,Nathan Lee Graham,4,0.003513
4252,Tony Shalhoub,58,2.643847
26457,Matthew Lillard,82,3.373248
21360,Matthew Harrison,14,0.003821
1003356,Alec Roberts,2,2.4e-05
238825,Rah Digga,2,0.004661
1164,F. Murray Abraham,79,1.89001
62911,JR Bourne,28,0.97287
229167,Jacob Rupp,3,1e-06
18324,Steve Zahn,51,4.751322
8167,Paul Walker,31,15.165735
22290,Leelee Sobieski,28,4.656292
67538,Jessica Bowman,8,0.131207
156011,Stuart Stone,18,0.063056
16754,Basil Wallace,10,0.000127
154838,Brian Leckner,7,0.4
154996,Mary Wickliffe,1,0.4
552465,McKenzie Satterthwaite,1,0.008255
149526,Dell Yount,5,0.07056
24965,Scott Wolf,13,1.60445
24967,Alyssa Milano,40,2.395338
9046,Chazz Palminteri,49,4.663473
34982,Jeff Bennett,135,2.957441
63978,Jodi Benson,24,2.55002
34398,Bill Fagerbakke,28,0.733055
1937,Mickey Rooney,226,1.74152
4689,Bronson Pinchot,28,1.027207
14702,Cathy Moriarty,37,1.707479
30695,Mary Kay Bergman,20,1.198922
192,Morgan Freeman,126,12.791128
2140,Monica Potter,15,3.910554
7486,Michael Wincott,35,2.923109
19152,Dylan Baker,58,1.98225
21027,Mika Boorem,20,0.786099
21028,Anton Yelchin,52,3.786335
6067,Jay O. Sanders,65,1.631599
21029,Billy Burke,39,1.341439
21030,Michael Moriarty,49,0.681569
14698,Penelope Ann Miller,56,1.818296
258,Gael García Bernal,51,2.855035
8688,Diego Luna,42,6.191787
16971,Maribel Verdú,70,2.420606
17088,Ana López Mercado,1,2.1e-05
224320,Diana Bracho,28,2.106261
7375,Verónica Langer,16,0.0504
229615,María Aura,10,0.55866
947768,Andrés Almeida,13,0.52
263,Emilio Echevarría,19,2e-05
1733304,Nathan Grinberg,1,0.12
57674,Alexa PenaVega,52,3.677161
57675,Daryl Sabara,19,2.545082
17832,Carla Gugino,63,17.703378
10697,Alan Cumming,70,3.563774
10742,Teri Hatcher,26,2.745107
11159,Cheech Marin,75,3.237187
11160,Danny Trejo,196,7.047695
418,Robert Patrick,89,4.865802
70851,Jack Black,84,11.14238
1206,Jason Alexander,62,3.734079
60023,Joe Viterelli,20,0.448134
14888,Bruce McGill,81,4.542157
283444,Tony Robbins,5,0.001557
65239,Susan Ward,15,2.238415
60672,Zen Gesner,15,3.9e-05
78837,Brooke Burns,21,1.887174
162924,Rob Moran,10,8e-06
57607,周星馳,62,4.423897
70437,吳孟達,102,5.690154
544796,Patrick Tse Yin,35,0.000141
77304,Zhao Wei,32,5.637659
956575,Wong Yat-Fei,43,1.020561
1136808,Tenky Tin Kai-Man,37,0.01332
1265974,Mok Mei-Lam,4,0.000287
1173223,Danny Chan Kwok-Kwan,12,3.862658
545277,Lam Tze-Chung,31,0.000375
57831,Karen Mok,53,2.67848
16856,Gabriel Macht,20,3.885372
53572,Charles Malik Whitfield,8,0.247699
18181,David Keith,69,1.114016
53573,Olek Krupa,26,0.95042
22462,Joaquim de Almeida,73,0.965339
86151,Владимир Машков,29,1.344955
137336,Marko Igonda,13,0
61855,Eyal Podell,11,0.509746
2233,Bridget Fonda,40,4.364541
1241,John Turturro,103,4.079132
58317,Chris Kattan,33,0.032185
4808,Giancarlo Esposito,84,3.068558
16850,Rose McGowan,31,3.107929
21290,Dave Foley,52,1.034564
52119,Megan Mullally,38,1.613375
59410,Bob Odenkirk,39,4.093117
2395,Whoopi Goldberg,158,6.169266
3627,Paz Vega,42,4.82843
16441,Tristán Ulloa,28,1.518049
16442,Najwa Nimri,26,0.608619
16443,Daniel Freire,9,0.021953
3623,Elena Anaya,43,3.803383
16444,Silvia Llanos,1,1.3e-05
16445,Diana Suárez,1,0.001282
1610,Javier Cámara,33,2.803354
1284938,Juan Fernández,14,1e-06
380,Robert De Niro,143,11.917711
6885,Charlize Theron,52,12.134933
12833,Edward Burns,30,1.276636
7090,Kelsey Grammer,59,4.633044
822,Avery Brooks,16,0.210584
21657,Vera Farmiga,47,9.282999
2109,Kim Cattrall,54,3.779127
58563,David Alan Grier,51,1.274445
46393,Roseanne Barr,27,1.568552
2040,Christopher Eccleston,57,4.518914
20051,Alakina Mann,2,1.748685
20052,James Bentley,1,0.538257
