did,director_name,movie_credits,popularity
90864,Charles Grosvenor,17,0.088564
64909,Jean-Marie Poiré,34,0.002206
26882,Kiyoshi Kurosawa,67,0.000623
54967,Sam Weisman,8,0.12
18311,Joe Roth,35,1.005089
201,Michel Gondry,47,2.169734
21958,Mark Rydell,16,0.071604
17597,Juan Carlos Fresnadillo,11,0.00035
84782,Francine McDougall,6,0.001063
88623,Jim Stenstrum,5,0.4
84714,Juan José Campanella,18,1.46124
56106,Charles Shyer,21,0.115303
56911,Les Mayfield,11,0.001344
17282,Takashi Miike,99,1.127495
3288,Chris Weitz,25,1.701344
3289,Paul Weitz,26,2.473726
15277,Jon Favreau,28,3.739015
12833,Edward Burns,35,2.451366
72197,Ferzan Özpetek,25,4e-06
6495,Mira Nair,30,2.564554
36693,Richard Eyre,31,0.001456
145134,Jill Sprecher,6,0.52
11472,Irwin Winkler,55,0.33053
1901,Caroline Thompson,17,0.47236
23724,Patrice Chéreau,29,0.59508
58072,John Pasquin,6,0.038107
123694,Rob Pritts,1,1e-06
134705,Guy Magar,9,5.5e-05
61175,John Whitesell,9,0.759976
70703,Teddy Chan,16,0.04386
28898,Michael Radford,24,0.006356
78021,Lloyd Kaufman,79,0.079396
76247,Charles Herman-Wurmfeld,7,0.001456
67910,David Atkins,4,2e-06
4319,Stacy Peralta,17,0.008964
10697,Alan Cumming,5,3.201847
10431,Jennifer Jason Leigh,5,11.588618
84931,Michael Cuesta,8,0.310719
240976,Robert Angelo,3,0
84982,Rob Spera,9,0.000101
66605,Todd Solondz,26,1e-06
15521,Ernest R. Dickerson,36,0.023241
64061,Fred Schepisi,25,0.004728
54590,Steve Rash,14,0.05867
132566,Matt Codd,9,0
1216479,Steve Purcell,8,5.9e-05
226493,Sandra Goldbacher,6,0.001361
55790,Allan Moyle,15,0.072
4955,Dario Argento,93,0.193638
66116,Mark Brown,11,2e-06
82221,Brendan Malloy,5,0.001905
82222,Emmett Malloy,11,0.1008
55251,Asif Kapadia,14,0.134057
36185,Jean de Segonzac,14,0.190756
81272,Jay Lowi,4,0.000342
87033,Julie Davis,9,0
166469,Jonas McCord,4,8e-05
99362,Craig Shapiro,8,1e-06
94643,Rich Murray,2,4.8e-05
6198,Vondie Curtis-Hall,9,0.243324
146438,Bertrand Bonello,34,0.001099
56913,Stephen Carpenter,14,0.006723
4522,Caroline Link,11,1e-05
18878,Rob Cohen,39,2.288947
46891,Gilbert M. Shilton,5,4e-06
11688,Jan Svěrák,21,8e-06
22140,Kari Skogland,19,0.64
49903,Tim Hill,8,0.298477
81322,Jeremy Kasten,8,1.8e-05
41795,Manny Coto,9,0.64
17784,John Irvin,27,3.9e-05
5342,Mike Nichols,37,0.75395
86164,Mitch Davis,10,0
1278028,Paul S. Parco,4,0.004536
6400,Tom DiCillo,25,0.00116
16328,Adam Brooks,14,0.483811
46366,Shusuke Kaneko,34,0.584227
21440,Dick Maas,45,0.03655
20030,Jacques Perrin,20,1.05665
5128,Daniel Waters,12,0.221119
233470,Doug Finelli,3,2.6e-05
144130,Michael Covert,4,0.168
1275303,Trace Fraim,1,0.000374
69219,Boris von Sychowski,2,1.2
14692,Nick Castle,23,0.00172
15115,Stefan Ruzowitzky,17,0.326336
41285,Kirsten Sheridan,7,1.12
199169,Anthony Pullen Shaw,6,1.3e-05
83198,Allan Arkush,14,0.000158
11834,David Seltzer,24,0.025984
82335,Richard Glatzer,10,0.000147
82337,Wash Westmoreland,18,4e-06
21792,George Gallo,25,0.004372
42002,Yurek Bogayevicz,5,0
56381,James Toback,26,0.000185
932363,Mariano Barroso,15,0.002477
58094,Gillian Armstrong,21,0.000447
206549,Scott Reynolds,7,1e-06
105746,Philip Spink,8,0.12
171170,John Quinn,22,4e-05
65000,George Zaloom,8,0.000141
94126,Lara Shapiro,3,0
74565,Jack Kinney,96,0.263344
115754,Les Clark,142,9.2e-05
38803,Roman Coppola,21,0.619301
45117,John Carney,17,0.001769
95458,Gary Hardwick,4,0.041489
110174,Chris Ver Wiel,2,3e-06
94355,Peter Jaysen,6,0
55189,Bruce McDonald,28,0.028935
1222235,Christina Wayne,2,0.645389
1364800,Milčo Mančevski,12,1e-06
80526,Gray Hofmeyr,15,0.336
116930,Alex Wright,11,0.00112
131184,Phillip J. Roth,78,0.138298
110695,Majid Majidi,20,1.5e-05
28741,Michael Rymer,9,1e-06
59438,Mark Joffe,10,5.4e-05
101339,Kelley Cauthen,21,0
81256,Joel Hopkins,8,3e-06
111883,Billy Morrissette,3,0.8
57028,George Huang,8,8.4e-05
43896,Jeff Probst,3,0
80047,Lee Demarbre,18,0.005407
82829,Michael Oblowitz,14,4e-06
545229,David Weaver,18,0
57323,Piet De Rycker,6,0.036
57324,Thilo Rothkirch,13,0.4
44132,Mario Philip Azzopardi,23,1.8e-05
96861,Stanley Kwan,24,0.542126
22012,David Worth,40,3.4e-05
147956,Joseph Brutsman,3,0
87009,Del Shores,11,0.002477
94831,Maggie Greenwald,17,9e-06
229519,Thom Fitzgerald,12,4e-06
107274,Richard Rich,64,0.682125
1700852,Terry L. Noss,3,0.029635
47005,Alan Taylor,6,2.939968
56208,Lucrecia Martel,19,0.1884
31370,John Bacchus,57,4.1e-05
102329,María Ripoll,7,0.024192
133684,Tim Boxell,5,3e-06
38692,Paul Hoen,16,0.000315
238824,Jeff Schechter,14,0.059774
97864,Richard Gabai,42,0.52
129952,Sean McNamara,36,1.000748
75725,Robert Connolly,16,0.000371
175726,Jorge Montesi,19,0
185438,Genndy Tartakovsky,23,0.90302
72258,Steve Boyum,16,1e-06
59210,Patrick Stettner,4,0.0504
267888,Adam Weissman,1,2e-06
186483,Giles Walker,16,0
132812,Jonathan Parker,11,1e-05
8256,Anne Heche,3,5.194847
31140,Mary Stuart Masterson,2,1.490546
15735,Helen Mirren,1,6.512953
78860,Terry Cunningham,24,1.034776
18308,Steve Barron,15,0.801361
1066135,Dom Rotheroe,4,1e-06
78108,Isaac Florentine,20,1.205254
95646,Timothy Wayne Folsome,6,0.00104
1298538,Vincent Di Rosa,1,0.009514
264113,Tanya Wexler,3,0.000408
82443,Robert Radler,6,0.0008
66731,Nick Morris,5,0.028487
68750,Robert Townsend,24,0.004823
4945,Joe Johnston,18,1.850117
60696,Barry Bowles,6,0.12
171443,Justin McCarthy,5,7e-06
77853,Hamish Hamilton,45,0.015684
133420,Clare Peploe,8,0.009418
67896,Doug McHenry,8,0
558271,Enda Hughes,2,0.8
228984,Carol Dodds,1,0.4
116276,Dago Gonzales,2,0.30576
1177381,Linda Yellen,15,0.036
87318,Simo Halinen,6,1.3e-05
259792,Gustavo Graef-Marino,8,8.9e-05
147286,Paul Levine,5,0.00047
222583,William Wesley,5,1e-06
114925,Richard Dutcher,11,0
224512,Dan Mintz,5,0.08064
32069,Francis Girod,25,2.7e-05
40440,Todd Stephens,10,1.3e-05
1201991,Dean Rusu,2,2e-06
1110883,R.H. Greene,3,0.036
78997,Leon Ichaso,18,2.4e-05
115891,Chris Hegedus,31,6e-06
115892,Jehane Noujaim,5,0.168
180945,Julian Grant,14,3e-06
17825,Shawn Levy,38,2.075853
57359,Neal Israel,29,0.020139
43439,Scott Ziehl,11,0.000603
60050,Dana Lustig,10,0.0504
69982,Jeff Bleckner,28,0.200369
64508,Sidney J. Furie,63,0.022749
110557,Raymond Jafelice,7,0.015166
43500,Madison Monroe,11,0
8447,Jeff Daniels,1,3.549977
22808,Laurence Malkin,8,4e-06
1092511,Blake Cousins,1,3e-06
223641,Brent Cousins,3,0.091728
56584,Bam Margera,29,2.078865
117289,Brandon DiCamillo,13,0.000284
2034,Danny Boyle,30,2.490031
24318,Richard Benjamin,20,2.701684
130816,Jesse Peretz,6,0.241851
566889,John Sjogren,16,0.000241
21819,Lewis Teague,18,0.121401
61854,Shane Edelman,2,0.0014
224897,Hector Barron,1,0.000171
232695,Doug Hoffman,1,2e-05
36148,Richard Pepin,90,1e-06
32730,Richard Gale,9,0.568
164599,Colin Budds,4,1.3e-05
1140014,John Allardice,1,1e-06
97618,David DeCoteau,229,0.329966
1573677,Eric Hannah,2,1.1e-05
1037367,John Gianvito,11,0.01512
1652236,Rafi Eisenman,1,3e-05
107671,Dave Schultz,14,0.026671
1073774,Kate Montgomery,3,0
74527,David Bourla,8,0.01512
71943,Reggie Rock Bythewood,12,4e-06
1028415,Graciela Daniele,2,3e-06
217776,David Horn,13,0.001905
1108711,John Laing,11,0.01512
80916,Makoto Yokoyama,8,0.0108
544158,Russell DeGrazier,3,2.1e-05
39104,Abel Ferrara,54,0.217764
1102583,Rocky Costanzo,7,0.000292
30051,Willie Aames,4,0.743371
149501,Michael Lange,3,0.828274
3229,Arliss Howard,3,0.59166
729,Lonny Price,13,0.004463
1080857,DeMane Davis,4,1.8e-05
1080858,Khari Streeter,3,0.0012
106577,Junichi Sato,23,2e-05
58628,Sara Sugarman,9,0.360032
80172,Marty Callner,34,1e-06
111946,Britney Spears,5,1.259366
47640,Clark Johnson,3,1.266547
30149,Mikael Salomon,28,0.533974
286679,Adam Ripp,6,0
1232064,Casper Kelly,4,1.1e-05
941088,Dale G. Bradley,14,0.001361
1106092,Malcolm Clarke,9,7e-06
